EMPLOYEE_ID,SKILLS
1,"CI/CD,JENKINS,CLOUD COMPUTING,AWS,DATABASE MANAGEMENT,MYSQL,POSTGRESQL,KUBERNETES,DOCKER,POSTMAN"
2,"DATABASE ANALYSIS,MSEXCEL,POWERBI,DATABASE TESTING,SQL,JMETER,TESTRAIL,COLLABORATION"
3,"WEB DEVELOPMENT,DOCKER,KUBERNETES,AWS,PHP,DATABASE MANAGEMENT,MONGODB,JAVA,TEST PLANNING,SELENIUM"
4,"GRAPHIC DESIGN,FIGMA,ADOBEXD,WEB DEVELOPMENT,JAVASCRIPT,USER RESEARCH,COLLABORATION,PROBLEM SOLVING"
5,"SQL,DATABASE MANAGEMENT,ETL,PYTHON,C++,DATA ANALYSIS,FLASK,WEB DEVELOPMENT,REST,MACHINE LEARNING"
6,"DATA ANALYSIS,MACHINE LEARNING,PYTHON,R,FEATURE ENGINEERING,HYPERPARAMETER TUNING,FLASK"
7,"DATA ANALYSIS,MACHINE LEARNING,JAVASCRIPT,PYTHON,API DESIGN,PROBLEM SOLVING,API TESTING,REST"
8,"PYTHON,DATA ANALYSIS,TABLEAU,POWERBI,MACHINE LEARNING,HYPERPARAMETER TUNING,LABELBOX,CVAT"
9,"MOBILE APP DEVELOPMENT,SWIFT,KOTLIN,FLUTTER,API INTEGRATION,VERSION CONTROL,GIT,JAVASCRIPT,JAVA,REACT NATIVE"
10,"DISTRIBUTED SYSTEMS,API INTEGRATION,UX DESIGN,DATABASE MANAGEMENT,PYTHON,DOCKER,ETL,AWS,MONGODB"
11,"CLOUD COMPUTING,DOCKER,KUBERNETES,CI/CD,GITLAB CI,AWS,MONGODB,TABLEAU,JAVA"
12,"DATABASE MANAGEMENT,DATABASE TESTING,DISTRIBUTED SYSTEMS,MONGODB,API INTEGRATION,AWS,DATA MODELING,PHP,PYTHON"
13,"MACHINE LEARNING,HYPERPARAMETER TUNING,API DESIGN,POSTMAN,FLASK,SPRINGBOOT,NODE.JS,API INTEGRATION,JAVA"
14,"MACHINE LEARNING,HYPERPARAMETER TUNING,DATA ANALYSIS,CLOUD COMPUTING,KUBERNETES,AZURE,FASTAPI,FLASK,CI/CD"